laser_power_kw,material,thickness_mm,gas,speed_min_m_min,speed_max_m_min,speed_m_min,pierce_seconds,source,note
3,Carbon Steel,1,O2,8.0,10.0,9.0,0.20,"Bodor P-series Q235A/O2","Published Bodor reference range; verify the exact machine/process setup"
3,Carbon Steel,2,O2,5.5,7.5,6.5,0.25,"Bodor P-series Q235A/O2","Published Bodor reference range; verify the exact machine/process setup"
3,Carbon Steel,3,O2,3.0,4.0,3.5,0.30,"Bodor P-series Q235A/O2","Published Bodor reference range; verify the exact machine/process setup"
3,Carbon Steel,4,O2,2.8,3.5,3.15,0.35,"Bodor P-series Q235A/O2","Published Bodor reference range; verify the exact machine/process setup"
3,Carbon Steel,5,O2,2.6,3.2,2.9,0.40,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Carbon Steel,6,O2,1.9,2.4,2.15,0.45,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Carbon Steel,8,O2,1.6,2.0,1.8,0.55,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Carbon Steel,10,O2,1.2,1.6,1.4,0.65,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Carbon Steel,12,O2,0.9,1.3,1.1,0.80,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Carbon Steel,16,O2,0.6,0.9,0.75,1.00,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,1,N2,8.0,10.0,9.0,0.20,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,3,N2,3.0,4.5,3.75,0.30,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,5,N2,2.2,2.8,2.5,0.45,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,6,N2,1.8,2.3,2.05,0.50,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,8,N2,1.2,1.7,1.45,0.60,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Stainless Steel,10,N2,1.0,1.2,1.10,0.75,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Aluminum,1,N2,8.0,10.0,9.0,0.20,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Aluminum,3,N2,3.0,4.5,3.75,0.30,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Aluminum,5,N2,2.2,2.8,2.5,0.45,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Aluminum,6,N2,1.8,2.3,2.05,0.50,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Aluminum,8,N2,1.2,1.7,1.45,0.60,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,1,N2,20.0,35.0,27.5,0.20,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,2,N2,6.0,10.0,8.0,0.25,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,3,N2,4.0,6.0,5.0,0.30,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,4,N2,3.0,5.0,4.0,0.40,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,5,N2,1.5,2.0,1.75,0.50,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,6,N2,1.0,1.8,1.4,0.60,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
3,Brass,8,N2,0.5,0.7,0.6,0.75,"Unverified starting value","Not directly verified against a current Bodor 3 kW parameter table; edit and validate before production"
